Date,ALI=F,GC=F,HG=F,SI=F,ZN=F
2020-11-09,1922.5,1885.699951171875,3.17549991607666,24.759000778198242,138.109375
2020-11-16,1971.75,1872.5999755859375,3.2934999465942383,24.347999572753906,138.5
2020-11-23,1977.75,1781.9000244140625,3.3994998931884766,22.55299949645996,138.546875
2020-11-30,2043.5,1835.9000244140625,3.5139999389648438,24.202999114990234,137.8125
2020-12-07,2018.0,1839.800048828125,3.5239999294281006,24.031999588012695,138.5
2020-12-14,2071.25,1885.699951171875,3.628499984741211,25.948999404907227,138.203125
2020-12-21,2022.75,1879.9000244140625,3.559999942779541,25.81100082397461,137.875
2020-12-28,1990.0,1893.0999755859375,3.5139999389648438,26.332000732421875,138.078125
2021-01-04,2022.25,1834.0999755859375,3.6735000610351562,24.582000732421875,136.65625
2021-01-11,1973.25,1829.300048828125,3.6029999256134033,24.825000762939453,136.859375
2021-01-18,1993.5,1855.699951171875,3.635499954223633,25.52400016784668,137.03125
2021-01-25,1982.0,1847.300048828125,3.573499917984009,26.899999618530273,137.03125
2021-02-01,2018.75,1810.9000244140625,3.6389999389648438,27.013999938964844,136.6875
2021-02-08,2091.75,1821.5999755859375,3.802000045776367,27.322999954223633,136.546875
2021-02-15,2132.0,1775.800048828125,4.090000152587891,27.25200080871582,135.453125
2021-02-22,2182.5,1728.0999755859375,4.0945000648498535,26.402000427246094,133.796875
2021-03-01,2194.75,1698.0,4.086999893188477,25.256999969482422,133.453125
2021-03-08,2187.5,1719.5,4.145500183105469,25.8799991607666,132.90625
2021-03-15,2256.25,1741.4000244140625,4.123499870300293,26.29199981689453,132.359375
2021-03-22,2295.75,1732.199951171875,4.078499794006348,25.091999053955078,131.765625
2021-03-29,2234.5,1726.5,4.003499984741211,24.934999465942383,130.953125
2021-04-05,2266.75,1743.300048828125,4.05049991607666,25.31100082397461,131.734375
2021-04-12,2327.5,1779.0,4.179999828338623,26.099000930786133,132.375
2021-04-19,2372.5,1777.0,4.3429999351501465,26.07699966430664,132.4375
2021-04-26,2413.0,1767.300048828125,4.479000091552734,25.85300064086914,132.03125
2021-05-03,2555.25,1831.0999755859375,4.765999794006348,27.461999893188477,132.75
2021-05-10,2475.75,1837.9000244140625,4.664000034332275,27.35300064086914,132.40625
2021-05-17,2388.5,1876.699951171875,4.495999813079834,27.472999572753906,132.4375
2021-05-24,2519.5,1902.5,4.682499885559082,27.993000030517578,132.859375
2021-05-31,2478.25,1889.800048828125,4.537499904632568,27.878999710083008,133.125
2021-06-07,2488.75,1877.4000244140625,4.541500091552734,28.131000518798828,133.703125
2021-06-14,2401.75,1767.9000244140625,4.162499904632568,25.95800018310547,133.15625
2021-06-21,2502.0,1776.5999755859375,4.298999786376953,26.082000732421875,131.859375
2021-06-28,2585.75,1782.5999755859375,4.2820000648498535,26.481000900268555,132.671875
2021-07-05,2521.75,1810.0,4.352499961853027,26.211000442504883,133.421875
2021-07-12,2506.25,1814.5,4.332499980926514,25.777000427246094,133.78125
2021-07-19,2531.25,1801.4000244140625,4.406499862670898,25.218000411987305,134.140625
2021-07-26,2624.25,1812.5999755859375,4.480500221252441,25.527999877929688,134.453125
2021-08-02,2601.25,1760.0,4.3454999923706055,24.312000274658203,134.0
2021-08-09,2618.0,1775.199951171875,4.38700008392334,23.76799964904785,133.953125
2021-08-16,2566.5,1781.0,4.134500026702881,23.104999542236328,134.125
2021-08-23,2680.0,1816.5999755859375,4.316500186920166,24.059999465942383,133.890625
2021-08-30,2753.75,1830.9000244140625,4.325500011444092,24.761999130249023,134.0
2021-09-06,2948.0,1789.5999755859375,4.447999954223633,23.854999542236328,133.765625
2021-09-13,2919.5,1749.4000244140625,4.245500087738037,22.295000076293945,133.40625
2021-09-20,2958.0,1749.699951171875,4.287499904632568,22.38800048828125,132.015625
2021-09-27,2902.25,1757.0,4.19350004196167,22.510000228881836,132.171875
2021-10-04,3011.25,1756.300048828125,4.2829999923706055,22.679000854492188,131.140625
2021-10-11,3171.0,1767.199951171875,4.734000205993652,23.327999114990234,130.96875
2021-10-18,2907.75,1795.5,4.526000022888184,24.429000854492188,130.34375
2021-10-25,2758.5,1783.0,4.375500202178955,23.94499969482422,130.703125
2021-11-01,2595.75,1816.4000244140625,4.348999977111816,24.152000427246094,131.828125
2021-11-08,2645.25,1867.9000244140625,4.45550012588501,25.3439998626709,130.53125
2021-11-15,2662.75,1851.199951171875,4.4085001945495605,24.780000686645508,130.875
2021-11-22,2581.25,1785.300048828125,4.281499862670898,23.10700035095215,131.171875
2021-11-29,2596.25,1782.0,4.266499996185303,22.44499969482422,132.125
2021-12-06,2550.75,1782.9000244140625,4.2829999923706055,22.15999984741211,131.09375
2021-12-13,2653.75,1803.800048828125,4.290999889373779,22.506999969482422,131.828125
2021-12-20,2808.0,1811.199951171875,4.38700008392334,22.930999755859375,130.546875
2021-12-27,2752.5,1827.5,4.454999923706055,23.327999114990234,130.46875
2022-01-03,2884.5,1797.0,4.4029998779296875,22.393999099731445,128.296875
2022-01-10,2962.75,1816.5,4.411499977111816,22.910999298095703,128.1875
2022-01-17,3026.0,1831.800048828125,4.512499809265137,24.31399917602539,128.3125
2022-01-24,3128.25,1784.9000244140625,4.302999973297119,22.302000045776367,127.953125
2022-01-31,3114.25,1806.5999755859375,4.483500003814697,22.475000381469727,126.765625
2022-02-07,3282.25,1840.800048828125,4.505000114440918,23.365999221801758,126.390625
2022-02-14,3304.5,1898.5999755859375,4.519499778747559,23.990999221801758,126.671875
2022-02-21,3406.0,1886.5,4.4720001220703125,23.996999740600586,126.25
2022-02-28,3873.0,1965.0999755859375,4.928999900817871,25.781999588012695,128.53125
2022-03-07,3446.5,1982.699951171875,4.616000175476074,26.106000900268555,126.015625
2022-03-14,3357.25,1928.199951171875,4.730500221252441,25.05500030517578,124.8125
2022-03-21,3571.5,1953.800048828125,4.685999870300293,25.594999313354492,121.546875
2022-03-28,3466.5,1919.0999755859375,4.682499885559082,24.642000198364258,122.234375
2022-04-04,3340.75,1941.5999755859375,4.71999979019165,24.819000244140625,120.125
2022-04-11,3250.5,1970.9000244140625,4.7170000076293945,25.690000534057617,119.9375
2022-04-18,3203.0,1931.0,4.582499980926514,24.256999969482422,118.9375
2022-04-25,3049.75,1909.300048828125,4.394999980926514,23.040000915527344,119.15625
2022-05-02,2831.0,1881.199951171875,4.261499881744385,22.325000762939453,117.796875
2022-05-09,2774.0,1807.4000244140625,4.180500030517578,20.983999252319336,119.171875
2022-05-16,2927.25,1841.800048828125,4.281000137329102,21.66900062561035,120.125
2022-05-23,2850.0,1851.300048828125,4.303999900817871,22.059999465942383,120.484375
2022-05-30,2692.0,1845.4000244140625,4.477499961853027,21.889999389648438,119.046875
2022-06-06,2638.75,1871.5,4.301000118255615,21.913000106811523,117.3125
2022-06-13,2461.0,1835.5999755859375,4.017499923706055,21.572999954223633,116.6875
2022-06-20,2411.5,1826.5,3.759999990463257,21.115999221801758,117.34375
2022-06-27,2389.25,1798.9000244140625,3.61899995803833,19.597000122070312,119.265625
2022-07-04,2383.75,1740.5999755859375,3.5320000648498535,19.16699981689453,117.625
2022-07-11,2380.0,1702.4000244140625,3.234499931335449,18.54800033569336,118.640625
2022-07-18,2483.0,1727.0999755859375,3.3485000133514404,18.584999084472656,119.890625
2022-07-25,2463.5,1762.9000244140625,3.5840001106262207,20.1560001373291,121.140625
